Sample_ID,Feature_1,Feature_2,Feature_3
363,1.82,12081.66,5679.65
364,-4.63,10169.44,-7676.29
365,8.08,29530.9,-5708.05
366,-3.21,45442.35,-7422.41
367,-8.46,1184.0,-5876.57
368,4.62,39046.23,6666.39
369,-3.62,12995.89,-6398.7
370,8.46,31189.54,-4094.19
371,7.47,32260.19,-2695.8
372,-4.03,58920.82,-7920.96
373,-10.34,32589.86,-7591.31
374,-3.84,55088.93,-7142.95
375,-3.99,34525.58,-5384.03
376,-3.25,44445.31,-6789.43
377,-9.18,40939.73,-5822.0
378,-8.79,16770.89,-7281.57
379,-10.95,7274.83,-4318.0
380,9.83,62737.56,-2993.43
381,-3.77,57617.7,-7431.37
382,3.34,51017.84,5593.46
383,5.47,28983.82,5674.63
384,6.67,46093.11,-3679.8
385,3.83,33886.51,3856.74
386,3.85,53012.49,5659.59
387,-3.62,18634.13,-7003.36
388,-8.87,8970.43,-4170.74
389,7.22,55221.43,-5593.49
390,2.9,31290.19,4979.56
391,0.15,32206.95,-3236.47
392,2.63,13547.6,4058.78
393,9.3,14878.3,-4203.42
394,1.76,32034.81,-3452.37
395,2.59,49043.4,-2932.03
396,3.6,17386.21,5777.95
397,8.33,31294.39,-4002.48
398,8.02,24798.94,-4192.91
399,9.31,10474.87,-3060.85
400,1.92,16476.35,-1960.73
401,-8.96,17678.03,-5564.67
402,6.56,11920.64,-3261.81
403,2.74,8599.42,5745.82
404,-7.59,33388.28,-6210.75
405,-3.0,16028.17,-6153.55
406,0.76,17588.5,-1584.48
407,-7.41,9378.11,-5301.22
408,-8.15,3846.36,-5344.17
409,-2.3,30956.64,-5805.23
410,3.78,10645.97,4121.3
411,3.61,33017.15,7014.85
412,-6.81,38565.82,-6914.98
413,-7.8,37863.17,-6185.25
414,3.38,2511.36,-2673.72
415,7.63,28095.47,-3810.9
416,4.58,28552.0,4505.0
417,-9.24,33698.34,-8372.83
418,-3.26,16988.87,-6389.77
419,-2.15,49211.78,-7730.68
420,-4.49,47810.11,-6553.37
421,0.29,38249.51,-4325.1
422,3.07,7152.16,6223.08
423,8.23,14530.57,-4582.39
424,-1.91,20299.57,-8762.13
425,0.91,70095.06,-3497.79
426,4.59,40825.85,5180.27
427,8.51,59761.31,-5290.93
428,-9.86,42942.21,-5214.91
429,-3.65,18706.8,-8054.54
430,-6.32,38729.82,-6082.25
431,8.37,21006.52,-2618.45
432,1.34,76772.96,-2175.06
433,-8.58,12235.47,-4483.56
434,-8.05,26839.78,-5111.15
435,4.23,28002.4,-2067.16
436,-10.61,27185.46,-7009.44
437,0.94,64871.96,-1894.08
438,-11.0,36987.44,-6202.57
439,-3.46,6864.66,-7698.85
440,-3.91,4732.21,-7150.87
441,-8.47,20093.73,-5087.25
442,0.47,26115.81,-4295.16
443,7.63,4277.36,-5845.07
444,8.22,49121.64,-3787.8
445,-8.49,3588.48,-5271.18
446,7.14,38460.91,-3120.93
447,-2.17,59268.86,-7466.33
448,4.19,51131.0,6294.43
449,1.7,25871.61,-1979.07
450,2.3,18448.89,-2957.74
451,0.99,34172.52,-1379.41
452,-2.78,14355.64,-7035.13
453,2.22,27776.83,-1118.13
454,1.11,9747.32,-1522.39
455,-2.31,55743.97,-6128.62
456,3.47,39624.05,-4077.45
457,-9.01,3918.44,-6520.81
458,8.68,8750.53,-3077.26
459,1.67,1903.75,902.98
460,1.48,49490.32,-4465.54
461,-9.79,1252.43,-6785.16
462,6.84,2318.8,-4120.23
463,8.11,37557.61,-1844.04
464,-2.13,16629.04,-7166.24
465,8.59,42512.0,-3489.55
466,7.73,9478.19,-4823.53
467,-2.08,817.04,-8575.16
468,1.47,19942.55,138.35
469,7.62,46028.57,-6066.23
470,6.78,16983.12,-881.1
471,-9.14,3408.58,-3165.64
472,3.68,51352.9,6149.53
473,6.84,12185.54,-4742.13
474,-3.32,23274.21,-6237.85
475,-8.93,73531.31,-4448.84
476,7.82,20.61,-3189.32
477,3.95,36806.76,6981.13
478,2.26,783.11,-1822.64
479,2.59,10012.13,-2700.54
480,0.87,37820.34,-1549.81
481,3.58,22494.6,5711.42
482,6.99,38907.43,-6155.06
483,2.89,19783.26,7332.77
484,2.7,10179.61,5178.97
485,0.25,48740.13,-981.52
486,1.68,3324.27,-1160.88
487,1.84,7295.5,-24.89
488,1.31,2402.77,-1688.04
489,8.57,32623.94,-5726.28
490,8.99,37891.71,-4324.18
491,3.73,53772.38,4521.44
492,4.61,26824.42,6625.04
493,-7.7,963.64,-5324.52
494,-3.4,1349.32,-5854.28
495,-8.32,2.46,-6069.22
496,-4.2,2850.81,-6756.35
497,10.34,32798.86,-4819.71
498,6.52,18707.48,-4187.37
499,-8.6,20447.16,-5744.69
500,1.56,43895.73,-1771.34
501,7.79,28342.77,-4201.75
502,3.45,34269.19,6544.56
503,3.31,36827.09,5973.61
504,3.25,45644.08,6178.81
505,-8.26,23239.92,-7039.7
506,1.61,17540.6,6637.33
507,6.62,32992.83,-4894.65
508,2.03,3139.2,7630.71
509,-1.23,17662.46,-7068.47
510,0.35,42834.71,-3288.38
511,-2.35,35687.35,-7532.42
512,7.13,38181.0,-3844.23
513,1.79,49549.18,-683.66
514,8.52,44055.8,-3535.25
515,-9.45,23964.18,-7663.51
516,2.87,58229.84,-1004.1
517,-2.21,49962.09,-6060.94
518,2.72,10813.8,-1518.49
519,2.79,56734.98,7200.53
520,-0.15,14785.21,-954.17
521,2.99,469.18,5289.0
522,-2.73,12506.51,-6903.3
523,-3.43,58719.87,-7883.34
524,6.01,1011.09,-3847.48
525,3.07,36732.79,5971.24
526,-9.47,2308.51,-8000.55
527,-4.08,51850.4,-5640.97
528,-9.21,910.29,-6243.68
529,-3.32,27976.51,-7565.63
530,-3.56,47652.84,-7013.03
531,-7.64,62143.66,-6121.75
532,-9.54,14809.09,-5618.41
533,2.01,35658.75,-2630.23
534,3.85,63999.32,6337.24
535,7.53,31816.41,-5236.13
536,-10.44,38974.33,-3976.27
537,-4.34,57235.4,-7747.36
538,3.53,49179.0,-2473.47
539,-2.66,37468.14,-7663.18
540,6.62,31556.98,-4575.23
541,1.96,6920.12,-1775.68
542,-9.82,40164.41,-6885.87
543,8.86,27424.6,-4660.8
544,-8.99,15800.3,-6051.72
545,2.1,60017.3,5287.49
546,2.1,6121.58,-2903.11
547,1.6,58721.71,-1988.64
548,3.54,20939.34,8095.03
549,1.77,3154.99,5911.66
550,-3.72,47405.44,-9080.03
551,3.85,21731.9,5940.46
552,-1.11,36614.3,-7144.62
553,-9.5,27959.68,-5702.3
554,-3.67,8430.14,-6346.85
555,-4.47,3956.28,-5888.77
556,2.32,65533.05,5180.05
557,3.1,34949.53,-2605.43
558,-6.35,82443.24,-4749.98
559,-8.9,35292.96,-6679.62
560,1.13,51044.5,-2584.81
561,4.66,32506.69,4821.66
562,-8.68,40278.88,-6910.07
563,-8.91,34673.12,-5197.15
564,2.26,26835.22,-2061.47
565,-3.97,6791.36,-8831.12
566,8.32,22555.96,-5286.8
567,-3.5,44608.47,-5067.18
568,3.27,6682.36,-2708.06
569,8.31,23253.11,-2385.96
570,-9.21,47740.37,-6787.01
571,3.95,27001.42,-3587.56
572,1.84,4251.91,-2595.56
573,-9.61,77984.77,-4482.38
574,4.2,27958.52,-2141.87
575,-4.6,25672.8,-6836.68
576,8.02,7336.87,-5183.97
577,-10.25,5701.13,-6067.94
578,-3.4,46054.33,-6244.04
579,7.56,12874.51,-5392.15
580,-10.42,6738.79,-7874.58
581,-9.03,20082.1,-5685.18
582,10.84,4591.81,-5011.37
583,-7.72,46735.64,-5518.35
584,-3.46,26881.61,-7397.56
585,-9.29,36809.68,-6911.07
586,7.9,38984.63,-2545.43
587,7.99,29082.84,-3882.86
588,-3.77,61998.57,-6675.9
589,-3.65,32312.2,-8481.47
590,-3.4,25124.7,-5919.99
591,9.49,30444.45,-3856.41
592,-9.01,54720.39,-5369.84
593,-6.82,47753.6,-4815.67
594,2.01,6487.11,-1532.79
595,10.53,15084.58,-3732.21
596,-8.2,44563.83,-7887.01
597,8.05,71931.62,-4207.41
598,1.9,35042.88,6821.69
599,6.24,14881.36,-4430.78
600,0.91,28826.21,-1675.13
601,2.89,23183.86,-1861.12
602,1.4,2351.46,4519.0
603,7.73,13939.9,-4566.83
604,-9.48,62196.74,-6062.61
605,-4.69,17710.33,-6285.7
606,7.79,46537.4,-5202.07
607,-9.45,19638.06,-8000.25
608,1.53,2806.97,-1953.56
609,3.03,3466.67,4977.18
610,-3.07,20422.79,-7160.94
611,2.95,20863.68,4087.64
612,2.85,36745.74,6899.6
613,0.42,39505.39,-1653.23
614,-8.02,27069.36,-6972.03
615,-9.67,63994.51,-6314.91
616,2.39,3817.91,-1082.79
617,-9.37,24775.39,-6681.16
618,2.37,51275.98,5683.46
619,-10.08,16711.78,-5506.87
620,0.26,47607.3,-2156.08
621,2.39,2733.6,-1206.23
622,3.04,48601.16,5959.3
623,-4.1,39868.46,-6432.1
624,7.7,1174.82,-4075.57
625,8.3,44628.59,-4959.51
626,-8.99,32304.13,-5861.06
627,7.69,30315.52,-5472.16
628,-1.72,4648.94,-6482.56
629,3.46,1457.39,5497.58
630,1.18,35516.26,-3800.48
631,-9.94,41367.83,-7568.53
632,0.92,16617.99,7702.74
633,0.95,24605.04,-1810.13
634,-2.08,34343.01,-7577.09
635,-9.3,29952.22,-5679.67
636,1.39,42021.81,-5241.71
637,6.64,30226.87,-4754.3
638,2.08,14444.83,-2393.88
639,-8.09,57272.67,-6300.66
640,-3.9,59333.06,-7875.81
641,0.99,3277.51,-2452.2
642,-0.86,57410.24,-1694.39
643,-9.28,32249.33,-4522.86
644,-10.14,27476.92,-5908.77
645,-9.53,22610.0,-5101.94
646,-3.29,5732.76,-5956.9
647,2.53,39690.2,-2669.36
648,-11.02,62024.56,-6329.35
649,-3.52,6014.29,-6684.79
650,-8.72,2870.09,-4902.79
651,-10.01,20446.97,-7259.34
652,-3.05,34903.46,-5625.87
653,2.17,26020.28,5323.71
654,-0.66,35481.39,-6526.51
655,-11.0,7128.01,-4113.83
656,8.59,40049.63,-4008.61
657,2.6,44682.86,5160.93
658,7.5,24028.67,-3559.45
659,-10.85,52687.94,-6551.86
660,1.94,31647.34,4909.19
661,-7.79,28344.03,-5075.23
662,8.93,42594.63,-2661.08
663,8.43,16912.57,-4478.1
664,2.1,16077.54,-2262.01
665,2.21,26637.75,7242.73
666,-8.02,12677.18,-5393.8
667,-7.97,42916.06,-5886.25
668,1.71,24102.12,-1587.29
669,6.74,25750.18,-3065.36
670,2.64,7090.29,7011.8
671,-3.55,20061.85,-7649.39
672,-8.24,5118.78,-5301.91
673,-8.92,52459.41,-4395.6
674,4.45,29085.01,6109.22
675,7.4,34639.93,-3479.05
676,-4.96,2521.18,-6907.49
677,9.22,9403.15,-5719.75
678,7.98,49168.01,-5873.68
679,2.64,58509.6,5029.4
680,-2.2,28102.05,-7012.08
681,3.39,19312.35,-2550.23
682,1.54,37327.05,7139.61
683,2.6,12111.19,-1746.53
684,1.64,47708.42,-3883.21
685,-10.11,32724.72,-7471.15
686,-3.52,34508.12,-8071.35
687,-4.33,25297.5,-8253.72
688,-9.22,49167.06,-5775.68
689,-1.8,6507.08,-6013.33
690,-3.49,50975.56,-6359.0
691,1.74,3052.97,-2937.05
692,-9.38,15080.97,-4131.86
693,0.69,55807.99,1142.75
694,1.31,65143.24,-1691.11
695,-9.15,68119.63,-6493.62
696,6.9,33349.23,-3867.28
697,2.31,36158.33,-2286.49
698,3.14,40433.44,-3274.91
699,-7.93,8627.98,-6006.42
700,-9.56,17062.87,-6692.45
701,-2.91,1306.57,-7346.81
702,9.04,2861.18,-2887.46
703,2.83,42158.0,5497.78
704,8.3,14962.73,-4253.83
705,8.08,5230.34,-4100.59
706,1.87,10728.19,-3467.78
707,8.89,36069.15,-3502.36
708,4.62,44779.28,-4321.15
709,-2.22,53972.75,-5688.85
710,1.15,8346.44,-1525.75
711,8.63,30228.44,-4222.04
712,6.37,18103.38,-4103.06
713,-8.97,16822.96,-7398.76
714,2.72,12027.37,-3196.51
715,-8.46,12275.41,-5697.52
716,1.3,18676.92,-3059.84
717,5.42,32360.78,6197.27
718,7.67,2329.08,-4046.32
719,-8.48,17834.24,-6864.47
720,2.57,16841.47,-3088.54
721,-4.67,54732.62,-6253.61
722,-5.17,10220.42,-6351.93
723,1.73,32453.28,5328.96
724,2.84,9363.92,-416.45
725,8.53,38411.57,-3804.46
726,-9.87,16380.41,-8116.29
727,-8.79,47112.44,-5710.59
728,0.34,9541.63,-1949.35
729,4.55,39102.92,6571.8
730,-10.07,40341.89,-4916.28
731,1.82,28399.58,-2928.62
732,2.09,176.27,6404.07
733,2.16,14482.46,-3644.09
734,2.21,65864.3,-1896.86
735,-8.1,32602.01,-6114.38
736,7.47,3800.31,-5404.84
737,8.14,43193.17,-4373.89
738,3.5,24159.71,6137.26
739,3.22,8578.63,4615.3
740,-4.46,41014.2,-8500.41
741,4.43,13281.58,5429.28
742,1.88,3600.27,-1218.08
743,2.0,37377.55,-3465.9
744,3.63,29219.74,5321.77
745,-4.48,19139.06,-7340.06
746,-10.79,37669.52,-5598.05
747,-9.84,21304.22,-6679.77
748,-2.21,72252.51,-6700.42
749,-3.97,29481.51,-7805.08
750,-3.81,1485.6,-7410.06
751,-9.81,12014.44,-6320.12
752,-8.9,28324.83,-6746.52
753,3.32,53872.07,-3360.5
754,-8.72,31327.33,-6254.47
755,1.96,44609.52,-3497.58
756,2.17,44893.46,-2054.87
757,3.96,60915.26,6415.29
758,2.46,54905.25,5884.3
759,-9.27,39934.12,-5359.82
760,2.12,45506.57,-1110.62
761,-2.33,11296.3,-6895.05
762,7.42,39109.69,-3058.54
763,2.69,12235.01,4930.28
764,-1.81,4224.66,-7027.12
765,2.59,41159.95,7007.47
766,-8.61,34627.45,-6560.53
767,2.39,28718.37,-2317.96
768,1.57,1235.6,5187.73
769,2.52,47539.36,-1461.92
770,-3.11,9362.11,-7762.37
771,-4.57,24310.38,-6665.97
772,-2.27,49378.55,-5567.22
773,-9.29,49107.27,-5728.37
774,8.14,43031.97,-3932.94
775,6.51,5375.3,-5785.94
776,-7.82,26914.1,-7168.01
777,7.31,2139.74,-2613.01
778,2.19,60251.22,-2892.21
779,3.99,44430.65,6909.54
780,0.39,30991.71,-2512.62
781,2.83,32804.92,-2785.13
782,-3.19,15476.18,-8203.99
783,-4.27,33483.56,-6440.72
784,0.97,51372.5,-1797.96
785,-3.05,6835.12,-6942.23
786,-1.51,8367.08,-5708.9
787,8.72,47745.75,-4511.14
788,-8.73,6313.66,-5495.83
789,-7.79,7759.76,-6534.9
790,-10.56,67302.22,-6884.41
791,7.03,41478.63,-4174.56
792,-9.76,3233.61,-7875.76
793,-8.59,48191.45,-5471.24
794,-9.11,32589.97,-5479.0
795,1.37,20359.08,5129.93
796,-2.82,30195.43,-5730.25
797,-3.11,42697.13,-8576.36
798,-3.47,47384.55,-7052.52
799,3.03,17434.02,-3328.9
800,1.9,62017.81,5307.71
801,7.11,29925.9,-3531.42
802,8.18,30010.31,-5679.58
803,7.92,26317.61,-5434.55
804,-2.9,32832.95,-7816.89
805,0.36,73550.78,-2640.24
806,-2.29,49734.56,-6014.04
807,3.2,11084.6,7508.86
808,7.61,28173.71,-3786.16
809,-9.1,12478.04,-7727.56
810,2.15,32265.84,6032.29
811,3.53,29542.31,6387.66
